unique,caseno,Date,block,iucr,Type,Type_desc,Where,Arrest,Domestic,Beat,District,Ward,Community_area,FBI,x,y,Year,Updated,Latitude,Longitude,Location,color1,color2
10226502,HY413796,09-06-2015 15:39,042XX N KEDZIE AVE,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,FALSE,FALSE,1724,17,33,16,6,1154293,1928022,2015,02-10-2018 15:50,41.95832014,-87.70815371,"(41.958320138, -87.708153714)",#FE9A65,#FD7C37
10226503,HY414025,09-07-2015 12:00,025XX W 47TH ST,870,THEFT,POCKET-PICKING,OTHER,FALSE,FALSE,922,9,12,58,6,1160317,1873429,2015,02-10-2018 15:50,41.80838934,-87.68751762,"(41.808389342, -87.687517615)",#FE9A65,#FD7C37
10226504,HY413991,09-06-2015 22:30,060XX S HARPER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,314,3,5,42,7,1187483,1865093,2015,02-10-2018 15:50,41.78491136,-87.58814505,"(41.784911361, -87.588145051)",#F9B0A5,#DE7E6F
10226506,HY413813,09-07-2015 12:15,041XX W CULLERTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1012,10,24,29,18,1149114,1890100,2015,02-10-2018 15:50,41.8543605,-87.72817732,"(41.854360496, -87.728177317)",#ff005a,#eb0c83
10226507,HY413941,09-06-2015 10:00,059XX W CHICAGO AVE,890,THEFT,FROM BUILDING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1511,15,29,25,6,1136783,1904732,2015,02-10-2018 15:50,41.89474227,-87.77308723,"(41.894742268, -87.773087231)",#FE9A65,#FD7C37
10226510,HY414032,09-07-2015 13:55,023XX N MERRIMAC AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2512,25,29,19,14,1134359,1914805,2015,02-10-2018 15:50,41.92242693,-87.78175216,"(41.922426926, -87.781752161)",#FF785A,#FC4B24
10226511,HY414038,09-07-2015 10:00,015XX W AINSLIE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2032,20,46,3,7,1165060,1933040,2015,09/17/2015 11:37:18 AM,41.97186736,-87.66842713,"(41.971867357, -87.66842713)",#F9B0A5,#DE7E6F
10226512,HY413795,09-06-2015 20:30,041XX N CLARENDON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1915,19,46,3,7,1170177,1927635,2015,02-10-2018 15:50,41.95692536,-87.64976984,"(41.956925358, -87.649769837)",#F9B0A5,#DE7E6F
10226513,HY413739,09-05-2015 12:00,061XX S KEDZIE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,823,8,15,66,6,1156102,1863920,2015,02-10-2018 15:50,41.78238119,-87.70323301,"(41.78238119, -87.703233008)",#FE9A65,#FD7C37
10226514,HY413960,09-07-2015 12:00,066XX S PULASKI RD,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,FALSE,FALSE,833,8,13,65,7,1150842,1860360,2015,02-10-2018 15:50,41.77271614,-87.72261057,"(41.772716138, -87.722610571)",#F9B0A5,#DE7E6F
10226515,HY413929,09-07-2015 11:00,037XX N ELSTON AVE,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1732,17,35,16,6,1152927,1924854,2015,02-10-2018 15:50,41.94965416,-87.71325993,"(41.949654163, -87.71325993)",#FE9A65,#FD7C37
10226516,HY413951,09-07-2015 13:30,029XX W WASHINGTON BLVD,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1222,12,2,27,08B,1156759,1900541,2015,02-10-2018 15:50,41.8828604,-87.6998341,"(41.8828604, -87.699834096)",#A5FCD4,#6CFFBA
